DEPTH,BS,BVW,CARB_FLAG,COAL_FLAG,DELTA,GRMAX,GRMIN,J,KLHC_INT,KLOGH,M,N,PERF_FLAG,PHIF,PORD,RHOFL,RHOMA,RW,SAND_FLAG,SW,SWIRR,TEMP,VSH
3676.0404,8.5,0.114039,0,0,0.1907,115,14,4.00E-06,0,0,1.79,2.45,0,0.199062,0.199062,0.8,2.66,0.0216065,0,0.5729,6.9991,112.9501,0.645614
3676.1928,8.5,0.113847,0,0,0.1787,115,14,3.00E-06,0,0,1.79,2.45,0,0.199996,0.199996,0.8,2.66,0.021606,0,0.5692,7.4677,112.9537,0.646369
3676.3452,8.5,0.115696,0,0,0.2425,115,14,4.00E-06,0,0,1.79,2.45,0,0.22035,0.22035,0.8,2.66,0.0216054,0,0.5251,6.5214,112.9573,0.647125
3676.4976,8.5,0.110818,0,0,0.2533,115,14,1.00E-06,0,0,1.79,2.45,0,0.194725,0.194725,0.8,2.66,0.0216048,0,0.5691,11.6011,112.961,0.64788
3676.65,8.5,0.116367,0,0,0.2109,115,14,2.00E-06,0,0,1.79,2.45,0,0.234788,0.234788,0.8,2.66,0.0216042,0,0.4956,8.0178,112.9646,0.648635
3676.8024,8.5,0.11864,0,0,0.2383,115,14,1.00E-06,0,0,1.79,2.45,0,0.247799,0.247799,0.8,2.66,0.0216036,0,0.4788,10.5177,112.9682,0.64939
3676.9548,8.5,0.107397,0,0,0.2495,115,14,1.00E-06,0,0,1.79,2.45,0,0.169128,0.169128,0.8,2.66,0.021603,0,0.635,13.9123,112.9719,0.650145
3677.1072,8.5,0.112453,0,0,0.2861,115,14,0,0,0,1.79,2.45,0,0.202555,0.202555,0.8,2.66,0.0216024,0,0.5552,19.2366,112.9755,0.6509
3677.2596,8.5,0.114665,0,0,0.184,115,14,0,0,0,1.79,2.45,0,0.223573,0.223573,0.8,2.66,0.0216019,0,0.5129,19.1647,112.9791,0.651655
3677.412,8.5,0.110302,0,0,0.3288,115,14,0,0,0,1.79,2.45,0,0.197416,0.197416,0.8,2.66,0.0216013,0,0.5587,24.9126,112.9828,0.65241
3677.5644,8.5,0.112049,0,0,0.1909,115,14,0,0,0,1.79,2.45,0,0.209093,0.209093,0.8,2.66,0.0216007,0,0.5359,41.7286,112.9864,0.653165
3677.7168,8.5,0.10928,0,0,0.2495,115,14,0,0,0,1.79,2.45,0,0.189326,0.189326,0.8,2.66,0.0216001,0,0.5772,38.8479,112.99,0.65392
3677.8692,8.5,0.11242,0,0,0.209,115,14,0,0,0,1.79,2.45,0,0.212275,0.212275,0.8,2.66,0.0215995,0,0.5296,22.3354,112.9937,0.654675
3678.0216,8.5,0.114034,0,0,0.2207,115,14,0,0,0,1.79,2.45,0,0.230038,0.230038,0.8,2.66,0.0215989,0,0.4957,16.7948,112.9973,0.65543
3678.174,8.5,0.112673,0,0,0.1731,115,14,0,0,0,1.79,2.45,0,0.225823,0.225823,0.8,2.66,0.0215984,0,0.4989,16.4088,113.001,0.656185
3678.3264,8.5,0.111967,0,0,0.198,115,14,0,0,0,1.79,2.45,0,0.222593,0.222593,0.8,2.66,0.0215978,0,0.503,15.8525,113.0046,0.65694
3678.4788,8.5,0.110855,0,0,0.2193,115,14,0,0,0,1.79,2.45,0,0.215083,0.215083,0.8,2.66,0.0215972,0,0.5154,21.9869,113.0082,0.657696
3678.6312,8.5,0.109437,0,0,0.2005,115,14,0,0,0,1.79,2.45,0,0.205415,0.205415,0.8,2.66,0.0215966,0,0.5328,26.7188,113.0119,0.658451
